qualifier;value;description
# -----------------------------------------------------------------------
# MT 940 / MT 950 – component-label-based value lookups
# The detail-table tooltip renderer first tries the component label as
# the qualifier, so these entries appear as value tooltips automatically.
# -----------------------------------------------------------------------

# D/C Mark (fields :60F: :60M: :61: :62F: :62M: :64: :65:)
D/C Mark;C;Credit – funds credited to the account (balance increases)
D/C Mark;D;Debit – funds debited from the account (balance decreases)
D/C Mark;RC;Reversal of Credit – correction entry reversing a previous credit
D/C Mark;RD;Reversal of Debit – correction entry reversing a previous debit

# Transaction Type Indicator (field :61: component 6)
Transaction Type;S;SWIFT transfer – transaction was initiated via the SWIFT network
Transaction Type;N;Non-SWIFT – transaction with no SWIFT-specific information
Transaction Type;F;First Advice – first advice of a SWIFT-initiated transaction

# -----------------------------------------------------------------------
# MT 5xx – qualifier-based value lookups (existing entries below)
# -----------------------------------------------------------------------

# Beneficial Ownership Indicator (BENE qualifier in 22F)
BENE;NBEN;NCBO - No Change of Beneficial Ownership (NCBO)
BENE;YBEN;CBO - Change of Beneficial Ownership (CBO)

# Block Trade Indicator (BLOC qualifier in 22F)
BLOC;BLCH;Block Trade Child - Transaction is a block trade child
BLOC;BLPA;Block Trade Parent - Transaction is a block trade parent

# Corporate Action Event Type (CAEV qualifier in 22F)
CAEV;ACCU;Accumulation - Funds related event in which the income (for example accumulation units) that accrues during an accounting ...
CAEV;ACTV;Trading Status: Active - Trading in the security has commenced or security has been re-activated after a suspension in trading
CAEV;ATTI;Attachment - Combination of different security types to create a unit
CAEV;BIDS;Repurchase Offer/Issuer Bid/Reverse Rights - Offer to existing holders by the issuing company to repurchase its own securities
CAEV;BMET;Bond Holder Meeting - Physical meeting of bond holders
CAEV;BONU;Bonus Issue/Capitalisation Issue - Bonus or capitalisation issue
CAEV;BPUT;Put Redemption - Early redemption of a security at the election of the holder subject to the terms and condition of the issu...
CAEV;BRUP;Bankruptcy - Legal status of a company unable to pay creditors
CAEV;CAPD;Capital Distribution - The corporate event pays shareholders an amount in cash issued from the capital account
CAEV;CAPG;Capital Gains Distribution - Distribution of profits resulting from the sale of company assets, for example, Shareholders of Mutual Fund...
CAEV;CAPI;Capitalisation - Increase of the current principal of a debt instrument without increasing the nominal value
CAEV;CERT;Non-US TEFRA D Certification - Non-US beneficial owner certification requirement for exchange of temporary to permanent notes
CAEV;CHAN;Change - Information regarding a change further described in the corporate action details
CAEV;CLSA;Class Action/Proposed Settlement - Situation where interested parties seek restitution for financial loss
CAEV;CMET;Court Meeting - Announcement of a meeting at a Court
CAEV;CONS;Consent - Procedure that aims to obtain consent of holder to a proposal by the issuer or a third party without conven...
CAEV;CONV;Conversion - Conversion of securities (generally convertible bonds or preferred shares) into another form of securities ...
CAEV;COOP;Company Option - A company option may be granted by the company, allowing the holder to take up shares at some future date(s...
CAEV;CREV;Credit Event - An occurrence of credit derivative for which the issuer of one or several underlying securities is unable t...
CAEV;DECR;Decrease in Value - Reduction of face value of a single share or the value of fund assets
CAEV;DETI;Detachment - Separation of components that comprise a security, for example, usually units comprised of warrants and bon...
CAEV;DFLT;Bond Default - Failure by the company to perform obligations defined as default events under the bond agreement and that h...
CAEV;DLST;Trading Status: Delisted - Security is no longer able to comply with the listing requirements of a stock exchange and is removed from ...
CAEV;DRAW;Drawing - Securities are redeemed in part before the scheduled final maturity date
CAEV;DRCA;Cash Distribution From Non-Eligible Securities Sales - Distribution to shareholders of cash resulting from the selling of non-eligible securities, for example, in...
CAEV;DRIP;Dividend Reinvestment - Dividend payment where holders can keep cash or have the cash reinvested in the market by the issuer into a...
CAEV;DSCL;Disclosure - Requirement for holders or beneficial owners to disclose their name, location and holdings of any issue to ...
CAEV;DTCH;Dutch Auction - An action by a party wishing to acquire a security
CAEV;DVCA;Cash Dividend - Distribution of cash to holders, in proportion to their equity holding
CAEV;DVOP;Dividend Option - Distribution of a dividend to holders with a choice of benefit to receive additional securities or cash
CAEV;DVSC;Scrip Dividend/Payment - Dividend or interest paid in the form of scrip
CAEV;DVSE;Stock Dividend - Dividend paid to shareholders in the form of equities of the issuing corporation
CAEV;EXOF;Exchange - Exchange of holdings for other securities and/or cash
CAEV;EXRI;Call on Intermediate Securities - Call or exercise on nil paid securities or intermediate securities resulting from an intermediate securitie...
CAEV;EXTM;Maturity Extension - As stipulated in the security's Terms and Conditions, the issuer or the holder may prolong the maturity dat...
CAEV;EXWA;Warrant Exercise - Option offered to holders to buy (call warrant) or to sell (put warrant) a specific amount of stock, cash, ...
CAEV;INCR;Increase in Value - Increase in the face value of a single security
CAEV;INFO;Information - Information provided by the issuer having no accounting/financial impact on the holder
CAEV;INTR;Interest Payment - Interest payment distributed to holders of an interest bearing asset
CAEV;LIQU;Liquidation Dividend/Liquidation Payment - A distribution of cash, assets or both
CAEV;MCAL;Full Call/Early Redemption - The redemption of an entire issue outstanding of securities, for example, bonds, preferred equity, funds, b...
CAEV;MEET;Annual General Meeting - Annual general meeting
CAEV;MRGR;Merger - Exchange of outstanding securities, initiated by the issuer which may include options, as the result of two...
CAEV;NOOF;Non-Official Offer - Offers that are not supervised or regulated by an official entity and being offered by a party, for example...
CAEV;ODLT;Odd Lot Sale/Purchase - Sale or purchase of odd-lots to/from the issuing company, initiated either by the holder of the security or...
CAEV;OMET;Ordinary General Meeting - Ordinary general meeting
CAEV;OTHR;Other Event - Other event, use only when no other event type applies, for example, a new event type
CAEV;PARI;Pari-Passu - Occurs when securities with different characteristics, for example, shares with different entitlements to d...
CAEV;PCAL;Partial Redemption Without Pool Factor Reduction - Securities are redeemed in part before their scheduled final maturity date
CAEV;PDEF;Partial Defeasance/Pre-Funding - Issuer has money set aside to redeem a portion of an issue and the indenture states that the securities cou...
CAEV;PINK;Pay In Kind - Interest payment, in any kind except cash, distributed to holders of an interest bearing asset
CAEV;PLAC;Place of Incorporation - Changes in the state of incorporation for US companies and changes in the place of incorporation for foreig...
CAEV;PPMT;Instalment Call - An instalment towards the purchase of equity capital, subject to an agreement between an issuer and a purch...
CAEV;PRED;Partial Redemption With Pool Factor Reduction - Securities are redeemed in part before their scheduled final maturity date
CAEV;PRIO;Priority Issue - Form of open or public offer where, due to a limited amount of securities available, priority is given to e...
CAEV;RCLA;Reclassification - Securities related event which reclassifies the distribution in various types of income for US tax withhold...
CAEV;REDM;Final Maturity - The redemption of an entire issue outstanding of securities, for example, bonds, preferred equity, funds, b...
CAEV;REDO;Redenomination - Event by which the unit (currency and/or nominal) of a security is restated, for example, nominal/par value...
CAEV;REMK;Remarketing Agreement - Purchase and sale of remarketed preferred equities/bonds through the negotiation of interest rate between t...
CAEV;RHDI;Intermediate Securities Distribution - The distribution of intermediate securities that gives the holder the right to take part in a future event
CAEV;RHTS;Rights Issue/Subscription Rights/Rights Offer - Offer to holders of a security to subscribe for additional securities via the distribution of an intermedia...
CAEV;SHPR;Shares Premium Dividend - This corporate event pays shareholders an amount in cash issued from the shares premium reserve
CAEV;SMAL;Smallest Negotiable Unit - Modification of the smallest negotiable unit of shares in order to obtain a new negotiable unit
CAEV;SOFF;Spin-Off - A distribution of securities issued by another company
CAEV;SPLF;Stock Split/Change in Nominal Value/Subdivision - Increase in a corporation's number of outstanding equities without any change in the shareholder's equity o...
CAEV;SPLR;Reverse Stock Split/Change in Nominal Value - Decrease in a company's number of outstanding equities without any change in the shareholder's equity or th...
CAEV;SUSP;Trading Status: Suspended - Trading in the security has been suspended
CAEV;TEND;Tender/Acquisition/Takeover/Purchase Offer - An offer made to holders by a third party, requesting them to sell (tender) or exchange their securities
CAEV;TNDP;Tax On Non-Distributed Proceeds - Taxable component on non-distributed proceeds, for example, Australian deemed income or US 871m income regu...
CAEV;TREC;Tax Reclaim - Event related to tax reclaim activities
CAEV;WRTH;Worthless - Booking out of valueless securities
CAEV;WTRC;Withholding Tax Relief Certification - Certification process for withholding tax reduction or exemption based on the tax status of the holder
CAEV;XMET;Extraordinary or Special General Meeting - Extraordinary or special general meeting

# Cash Settlement System Indicator (CASY qualifier in 22F)
CASY;GROS;Gross Settlement System - Settle money through gross settlement system
CASY;NETS;Net Settlement System - Settle money through net settlement system

# CCP Eligibility Indicator (CCPT qualifier in 22F)
CCPT;NCCP;Not CCP Eligible - Settlement instruction is not CCP eligible
CCPT;YCCP;CCP Eligible - Settlement instruction is CCP eligible

# Complete/Updates Indicator (CODE qualifier in 22F)
CODE;COMP;Complete - Statement gives complete information (including information (positions, instruction statuses) which is unch...
CODE;DELT;Delta - Statement contains changes which have not yet been reported (delta report, that is, changes only)

# Letter of Guarantee Indicator (LEOG qualifier in 22F)
LEOG;NLEG;Letter of Guarantee Not Accepted - Letter of guarantee is not accepted
LEOG;YLEG;Letter of Guarantee Accepted - Letter of guarantee is accepted

# Market/Client Side Indicator (MACL qualifier in 22F)
MACL;CLNT;Client Side - Instruction is for a client side transaction
MACL;MAKT;Market Side - Instruction is for a market side transaction

# Movement Status (MOVE qualifier in 25D)
MOVE;REVE;Reversal - Reversal of a previously reported movement

# Netting Eligibility Indicator (NETT qualifier in 22F)
NETT;NNET;Not Netting Eligible - Settlement instruction is not eligible for netting
NETT;YNET;Netting Eligible - Settlement instruction is eligible for netting

# Payment Indicator (PAYM qualifier in 22H)
PAYM;APMT;Against Payment - Against payment
PAYM;FREE;Free - Free

# Receive/Deliver Indicator (REDE qualifier in 22H)
REDE;DELI;Deliver - Financial Instruments have been debited from the safekeeping account
REDE;RECE;Receive - Financial Instruments have been credited to the safekeeping account

# Registration Indicator (REGT qualifier in 22F)
REGT;NREG;Street Name - Hold the securities in street name
REGT;YREG;Register - Register on receipt

# Repurchase Type Indicator (REPT qualifier in 22F)
REPT;CADJ;Swap/Substitution - Relates to a repo collateral substitution
REPT;CALL;Repo Call - Relates to the early closing/maturity date for a term repo or the termination date of an open repo with und...
REPT;PADJ;Principal/Exposure Adjustment - Relates to a principal adjustment
REPT;PAIR;Pair-Off - Relates to a repo that is part of a pair-off
REPT;RATE;Repo Rate - Relates to a change in the repo rate
REPT;ROLP;Repo Contract Rollover - Relates to a repo rollover of a contract extending the closing or maturity date without impacting underlyin...
REPT;TOPU;Top-Up - Relates to a cover of securities position due to deficit of collateral following mark to market valuation
REPT;WTHD;Withdrawal - Relates to a return of securities position due to excess of collateral following mark to market valuation

# Transfer Restriction Indicator (REST qualifier in 22F)
REST;144A;Pursuant to 144A - Ownership or transfer of an unregistered security issued, pursuant to US legal restrictions 144A
REST;NRST;Not Subject to Restrictions - Ownership or transfer of a security that is not subject to restrictions
REST;RSTR;Subject to Restrictions (not pursuant to 144A) - Ownership or transfer of a security that is subject to restrictions, and not pursuant to 144A

# RTGS Settlement Indicator (RTGS qualifier in 22F)
RTGS;NRTG;Non-RTGS - Settle through the non-RTGS system
RTGS;YRTG;RTGS - Settle through the RTGS system

# Settlement Transaction Type (SETR qualifier in 22F)
SETR;BSBK;Buy Sell Back - Relates to a buy sell back transaction
SETR;BYIY;Buy In - The transaction relates to a buy-in by the market following a delivery transaction failure
SETR;CLAI;Market Claim - Transaction resulting from a market claim
SETR;CNCB;Central Bank Collateral Operation - Relates to a collateral delivery/receipt to a National Central Bank for central bank credit operations
SETR;COLI;Collateral In - Relates to a collateral transaction, from the point of view of the collateral taker or its agent
SETR;COLO;Collateral Out - Relates to a collateral transaction, from the point of view of the collateral giver or its agent
SETR;CONV;DR Conversion - Relates to a depository receipt conversion
SETR;ETFT;Exchange Traded Funds - Relates to an exchange traded fund (ETF) creation or redemption
SETR;FCTA;Factor Update - Relates to a factor update
SETR;INSP;Move of Stock - Relates to a movement of shares into or out of a pooled account
SETR;INTT;Traded Interest Changed - Relates to a cash movement resulting from a change in traded interest pursuant to a coupon rate adjustment
SETR;ISSU;Issuance - Relates to the issuance of a security such as an equity or a depository receipt
SETR;MKDW;Mark-Down - Relates to the decrease of positions held by an ICSD at the common depository due to custody operations (re...
SETR;MKUP;Mark-Up - Relates to the increase of positions held by an ICSD at the common depository due to custody operations (re...
SETR;NETT;Netting - Relates to the netting of settlement instructions
SETR;NSYN;Non Syndicated - Relates to the issue of medium and short term paper (CP, CD, MTN, notes ...) under a program and without sy...
SETR;OWNE;External Account Transfer - Relates to an account transfer involving more than one instructing party (messages sender) and/or account s...
SETR;OWNI;Internal Account Transfer - Relates to an account transfer involving one instructing party (messages sender) at one account servicer (m...
